bill_id,customer_id,bill_date,bill_month,bill_year,bill_amount,payment_status
30001,485,2024-03-20,March,2024,315,Delayed
30002,2,2024-06-08,June,2024,298,Failed
30003,438,2024-03-12,March,2024,798,Failed
30004,376,2023-04-28,April,2023,1058,Failed
30005,402,2022-09-08,September,2022,1887,Paid
30006,54,2023-11-08,November,2023,493,Paid
30007,166,2023-02-04,February,2023,1399,Paid
30008,353,2024-05-02,May,2024,1354,Paid
30009,329,2022-05-21,May,2022,1203,Paid
30010,143,2023-01-13,January,2023,832,Delayed
30011,448,2022-04-30,April,2022,1945,Paid
30012,92,2022-12-04,December,2022,1802,Delayed
30013,8,2023-03-26,March,2023,255,Paid
30014,252,2024-06-06,June,2024,1235,Paid
30015,430,2022-06-10,June,2022,391,Paid
30016,100,2022-04-15,April,2022,1797,Delayed
30017,39,2024-04-29,April,2024,1192,Paid
30018,436,2022-04-02,April,2022,1732,Paid
30019,136,2023-04-30,April,2023,1375,Paid
30020,362,2023-02-23,February,2023,1245,Paid
30021,434,2023-02-25,February,2023,228,Delayed
30022,50,2023-12-17,December,2023,1591,Paid
30023,83,2023-07-06,July,2023,1923,Paid
30024,254,2022-02-23,February,2022,1613,Paid
30025,196,2023-08-24,August,2023,508,Delayed
30026,27,2023-10-09,October,2023,1843,Paid
30027,77,2023-05-29,May,2023,1623,Paid
30028,294,2022-04-07,April,2022,1575,Delayed
30029,255,2023-07-22,July,2023,770,Paid
30030,21,2024-05-21,May,2024,264,Paid
30031,218,2023-09-28,September,2023,364,Paid
30032,45,2022-07-04,July,2022,1714,Delayed
30033,442,2023-03-09,March,2023,1875,Paid
30034,407,2023-04-16,April,2023,762,Failed
30035,182,2022-05-05,May,2022,378,Paid
30036,286,2022-11-30,November,2022,742,Paid
30037,479,2022-09-21,September,2022,924,Paid
30038,351,2024-05-01,May,2024,975,Delayed
30039,144,2022-07-10,July,2022,1239,Paid
30040,52,2024-04-29,April,2024,324,Paid
30041,251,2023-12-28,December,2023,280,Paid
30042,106,2022-08-09,August,2022,1262,Paid
30043,297,2022-07-18,July,2022,1838,Paid
30044,199,2022-12-10,December,2022,1441,Paid
30045,337,2022-06-23,June,2022,1169,Paid
30046,280,2022-08-05,August,2022,1404,Paid
30047,148,2022-07-25,July,2022,636,Paid
30048,103,2023-08-02,August,2023,1890,Paid
30049,411,2023-01-08,January,2023,1166,Paid
30050,2,2022-06-23,June,2022,1912,Paid
30051,256,2022-03-19,March,2022,728,Paid
30052,60,2022-11-19,November,2022,1875,Paid
30053,307,2023-07-08,July,2023,1383,Paid
30054,385,2023-07-30,July,2023,1948,Paid
30055,482,2023-01-19,January,2023,1132,Paid
30056,91,2024-04-20,April,2024,932,Paid
30057,101,2023-03-13,March,2023,1996,Paid
30058,114,2022-07-18,July,2022,755,Paid
30059,262,2023-08-25,August,2023,1409,Paid
30060,422,2022-01-07,January,2022,1576,Paid
30061,54,2022-09-20,September,2022,1597,Paid
30062,188,2023-09-26,September,2023,1689,Paid
30063,27,2023-11-07,November,2023,439,Paid
30064,240,2023-09-20,September,2023,1959,Paid
30065,80,2023-06-09,June,2023,532,Paid
30066,190,2022-01-20,January,2022,246,Paid
30067,319,2023-12-14,December,2023,1333,Paid
30068,355,2024-03-31,March,2024,1817,Paid
30069,91,2022-09-11,September,2022,1326,Delayed
30070,35,2023-08-21,August,2023,661,Failed
30071,58,2022-06-29,June,2022,1296,Delayed
30072,189,2024-01-19,January,2024,1789,Paid
30073,253,2022-12-19,December,2022,515,Delayed
30074,36,2023-07-27,July,2023,200,Paid
30075,358,2023-12-28,December,2023,1976,Paid
30076,92,2024-06-11,June,2024,570,Paid
30077,56,2022-08-03,August,2022,1992,Paid
30078,67,2022-12-24,December,2022,1691,Paid
30079,313,2024-06-02,June,2024,1232,Paid
30080,169,2023-08-25,August,2023,786,Paid
30081,287,2023-08-31,August,2023,621,Paid
30082,131,2023-07-27,July,2023,1480,Paid
30083,166,2023-07-22,July,2023,1855,Paid
30084,437,2022-08-08,August,2022,1031,Paid
