issue_id,customer_id,issue_date,issue_month,issue_year,issue_type,resolution_time_hrs,resolved,city
20001,17,2023-10-22,October,2023,No Signal,2,Yes,bangalore
20002,366,2022-09-16,September,2022,Slow Internet,67,Yes,mumbai
20003,389,2023-06-26,June,2023,Call Drop,15,Yes,bangalore
20004,26,2023-06-14,June,2023,Slow Internet,21,Yes,bangalore
20005,213,2022-07-06,July,2022,No Signal,59,Yes,hyderabad
20006,385,2022-07-31,July,2022,Call Drop,39,Yes,hyderabad
20007,1,2022-02-04,February,2022,No Signal,20,Yes,kolkata
20008,291,2022-05-27,May,2022,Slow Internet,1,Yes,mumbai
20009,265,2022-10-09,October,2022,Slow Internet,9,Yes,delhi
20010,343,2023-07-01,July,2023,No Signal,51,Yes,delhi
20011,38,2023-08-11,August,2023,Call Drop,38,Yes,mumbai
20012,233,2023-08-07,August,2023,No Signal,15,Yes,mumbai
20013,260,2022-09-06,September,2022,Slow Internet,41,Yes,bangalore
20014,308,2022-02-26,February,2022,Call Drop,47,Yes,chennai
20015,403,2024-05-18,May,2024,No Signal,26,Yes,delhi
20016,485,2022-11-01,November,2022,Slow Internet,54,Yes,delhi
20017,261,2023-06-06,June,2023,Call Drop,70,Yes,mumbai
20018,476,2023-12-26,December,2023,No Signal,39,Yes,bangalore
20019,238,2022-12-27,December,2022,Call Drop,17,No,mumbai
20020,106,2022-08-25,August,2022,Slow Internet,70,Yes,bangalore
20021,247,2022-08-22,August,2022,No Signal,9,Yes,chennai
20022,304,2022-08-11,August,2022,No Signal,46,Yes,delhi
20023,343,2023-09-08,September,2023,Slow Internet,6,No,delhi
20024,447,2022-11-23,November,2022,Slow Internet,68,Yes,delhi
20025,38,2022-04-08,April,2022,Slow Internet,16,Yes,mumbai
20026,308,2022-08-14,August,2022,No Signal,29,Yes,chennai
20027,343,2024-01-04,January,2024,Slow Internet,41,Yes,delhi
20028,46,2024-04-15,April,2024,No Signal,68,Yes,delhi
20029,210,2023-05-04,May,2023,No Signal,62,Yes,kolkata
20030,93,2023-04-23,April,2023,Call Drop,40,Yes,bangalore
