usage_id,customer_id,usage_date,usage_month,usage_year,data_used_gb,call_minutes,network_type,usage_category
10001,288,2023-09-20,September,2023,2.01,49,4G,Normal Usage
10002,167,2023-10-25,October,2023,2.50,134,5G,Normal Usage
10003,109,2024-04-29,April,2024,0.74,117,4G,Normal Usage
10004,494,2022-02-19,February,2022,7.42,59,4G,High Usage
10005,36,2023-05-17,May,2023,0.47,124,5G,Normal Usage
10006,232,2023-12-19,December,2023,8.43,115,5G,High Usage
10007,229,2023-05-13,May,2023,0.04,172,5G,Normal Usage
10008,353,2022-12-01,December,2022,1.64,186,4G,Normal Usage
10009,164,2022-03-20,March,2022,1.01,87,5G,Normal Usage
10010,387,2023-08-05,August,2023,1.49,202,4G,Normal Usage
10011,73,2022-01-27,January,2022,2.11,181,5G,Normal Usage
10012,136,2022-09-28,September,2022,1.43,167,4G,Normal Usage
10013,353,2023-07-16,July,2023,1.34,180,4G,Normal Usage
10014,379,2024-03-14,March,2024,3.30,299,4G,Normal Usage
10015,70,2022-09-04,September,2022,2.89,129,4G,Normal Usage
10016,425,2024-02-15,February,2024,4.48,148,5G,Normal Usage
10017,487,2023-08-14,August,2023,0.72,208,4G,Normal Usage
10018,196,2023-01-22,January,2023,2.35,110,4G,Normal Usage
10019,269,2023-12-03,December,2023,2.20,136,4G,Normal Usage
10020,49,2023-07-13,July,2023,1.15,210,4G,Normal Usage
10021,316,2022-12-27,December,2022,1.66,145,5G,Normal Usage
10022,130,2024-05-15,May,2024,0.94,83,5G,Normal Usage
10023,444,2023-05-03,May,2023,0.38,29,5G,Normal Usage
10024,5,2022-12-18,December,2022,0.60,64,4G,Normal Usage
10025,428,2023-12-02,December,2023,0.28,23,4G,Normal Usage
10026,27,2022-09-13,September,2022,2.87,210,4G,Normal Usage
10027,160,2022-08-10,August,2022,2.70,221,4G,Normal Usage
10028,149,2024-06-02,June,2024,7.52,89,4G,High Usage
10029,264,2024-01-23,January,2024,3.27,105,5G,Normal Usage
10030,230,2024-02-20,February,2024,0.13,171,4G,Normal Usage
10031,200,2022-01-01,January,2022,5.39,229,4G,Normal Usage
10032,50,2023-06-30,June,2023,4.96,76,4G,Normal Usage
10033,67,2023-03-22,March,2023,1.46,67,4G,Normal Usage
10034,300,2022-03-20,March,2022,2.20,91,5G,Normal Usage
10035,381,2022-08-24,August,2022,9.33,87,4G,High Usage
10036,58,2022-11-30,November,2022,1.90,49,4G,Normal Usage
10037,259,2024-06-07,June,2024,5.89,102,4G,Normal Usage
10038,342,2022-12-15,December,2022,0.22,45,5G,Normal Usage
10039,326,2022-04-08,April,2022,0.53,178,5G,Normal Usage
10040,130,2022-03-23,March,2022,1.45,266,4G,Normal Usage
