usage_id,customer_id,usage_date,usage_month,usage_year,data_used_gb,call_minutes,network_type,usage_category,heavy_usage_flag
10001,288,2023-09-20,September,2023,2.01,49,4G,Normal Usage,Normal User
10002,167,2023-10-25,October,2023,2.5,134,5G,Normal Usage,Normal User
10003,109,2024-04-29,April,2024,0.74,117,4G,Normal Usage,Normal User
10004,494,2022-02-19,February,2022,7.42,59,4G,High Usage,Heavy User
10005,36,2023-05-17,May,2023,0.47,124,5G,Normal Usage,Normal User
10006,232,2023-12-19,December,2023,8.43,115,5G,High Usage,Heavy User
10007,229,2023-05-13,May,2023,0.04,172,5G,Normal Usage,Normal User
10008,353,2022-12-01,December,2022,1.64,186,4G,Normal Usage,Normal User
10009,164,2022-03-20,March,2022,1.01,87,5G,Normal Usage,Normal User
10010,387,2023-08-05,August,2023,1.49,202,4G,Normal Usage,Normal User
10011,73,2022-01-27,January,2022,2.11,181,5G,Normal Usage,Normal User
10012,136,2022-09-28,September,2022,1.43,167,4G,Normal Usage,Normal User
10013,353,2023-07-16,July,2023,1.34,180,4G,Normal Usage,Normal User
10014,379,2024-03-14,March,2024,3.3,299,4G,Normal Usage,Normal User
10015,70,2022-09-04,September,2022,2.89,129,4G,Normal Usage,Normal User
10016,425,2024-02-15,February,2024,4.48,148,5G,Normal Usage,Normal User
10017,487,2023-08-14,August,2023,0.72,208,4G,Normal Usage,Normal User
10018,196,2023-01-22,January,2023,2.35,110,4G,Normal Usage,Normal User
10019,269,2023-12-03,December,2023,2.2,136,4G,Normal Usage,Normal User
10020,49,2023-07-13,July,2023,1.15,210,4G,Normal Usage,Normal User
10021,316,2022-12-27,December,2022,1.66,145,5G,Normal Usage,Normal User
10022,130,2024-05-15,May,2024,0.94,83,5G,Normal Usage,Normal User
10023,444,2023-05-03,May,2023,0.38,29,5G,Normal Usage,Normal User
10024,5,2022-12-18,December,2022,0.6,64,4G,Normal Usage,Normal User
10025,428,2023-12-02,December,2023,0.28,23,4G,Normal Usage,Normal User
10026,27,2022-09-13,September,2022,2.87,210,4G,Normal Usage,Normal User
10027,160,2022-08-10,August,2022,2.7,221,4G,Normal Usage,Normal User
10028,149,2024-06-02,June,2024,7.52,89,4G,High Usage,Heavy User
10029,264,2024-01-23,January,2024,3.27,105,5G,Normal Usage,Normal User
10030,230,2024-02-20,February,2024,0.13,171,4G,Normal Usage,Normal User
10031,200,2022-01-01,January,2022,5.39,229,4G,Normal Usage,Normal User
10032,50,2023-06-30,June,2023,4.96,76,4G,Normal Usage,Normal User
10033,67,2023-03-22,March,2023,1.46,67,4G,Normal Usage,Normal User
10034,300,2022-03-20,March,2022,2.2,91,5G,Normal Usage,Normal User
10035,381,2022-08-24,August,2022,9.33,87,4G,High Usage,Heavy User
10036,58,2022-11-30,November,2022,1.9,49,4G,Normal Usage,Normal User
10037,259,2024-06-07,June,2024,5.89,102,4G,Normal Usage,Normal User
10038,342,2022-12-15,December,2022,0.22,45,5G,Normal Usage,Normal User
10039,326,2022-04-08,April,2022,0.53,178,5G,Normal Usage,Normal User
10040,130,2022-03-23,March,2022,1.45,266,4G,Normal Usage,Normal User
10041,215,2023-05-17,May,2023,2.2,267,4G,Normal Usage,Normal User
10042,172,2023-04-22,April,2023,4.24,7,4G,Normal Usage,Normal User
10043,258,2023-12-05,December,2023,11.11,264,4G,High Usage,Heavy User
10044,102,2024-02-04,February,2024,1.23,77,5G,Normal Usage,Normal User
10045,209,2023-07-04,July,2023,0.12,239,5G,Normal Usage,Normal User
10046,291,2022-01-14,January,2022,4.04,257,5G,Normal Usage,Normal User
10047,354,2023-01-27,January,2023,2.32,195,4G,Normal Usage,Normal User
10048,471,2022-12-13,December,2022,0.55,130,5G,Normal Usage,Normal User
10049,286,2022-11-06,November,2022,1.71,260,4G,Normal Usage,Normal User
10050,116,2023-01-21,January,2023,3.39,241,5G,Normal Usage,Normal User
10051,264,2022-07-28,July,2022,3.68,170,4G,Normal Usage,Normal User
10052,150,2022-12-23,December,2022,1.73,146,4G,Normal Usage,Normal User
10053,300,2023-08-24,August,2023,0.91,269,4G,Normal Usage,Normal User
10054,442,2023-07-22,July,2023,9.1,148,4G,High Usage,Heavy User
10055,36,2022-04-04,April,2022,2.72,298,4G,Normal Usage,Normal User
10056,453,2022-04-03,April,2022,1.31,27,5G,Normal Usage,Normal User
10057,333,2022-12-06,December,2022,0.82,148,4G,Normal Usage,Normal User
10058,477,2023-08-20,August,2023,3.28,279,4G,Normal Usage,Normal User
10059,287,2023-03-21,March,2023,0.69,181,4G,Normal Usage,Normal User
10060,303,2024-01-27,January,2024,0.47,165,4G,Normal Usage,Normal User
10061,311,2022-01-22,January,2022,1.89,16,5G,Normal Usage,Normal User
10062,208,2022-10-18,October,2022,0.86,149,4G,Normal Usage,Normal User
10063,106,2023-04-30,April,2023,2.48,44,4G,Normal Usage,Normal User
10064,446,2024-02-23,February,2024,0.31,188,5G,Normal Usage,Normal User
10065,158,2022-11-02,November,2022,2.66,138,5G,Normal Usage,Normal User
10066,121,2023-09-26,September,2023,0.83,60,4G,Normal Usage,Normal User
10067,55,2022-05-08,May,2022,0.0,293,5G,Normal Usage,Normal User
10068,400,2023-09-17,September,2023,0.34,32,4G,Normal Usage,Normal User
10069,12,2022-09-30,September,2022,6.78,298,5G,High Usage,Heavy User
10070,145,2024-04-27,April,2024,5.05,111,4G,Normal Usage,Normal User
10071,400,2023-03-18,March,2023,0.67,290,5G,Normal Usage,Normal User
10072,396,2023-05-18,May,2023,3.77,36,4G,Normal Usage,Normal User
10073,136,2022-05-10,May,2022,2.34,99,4G,Normal Usage,Normal User
10074,468,2022-05-12,May,2022,8.84,22,4G,High Usage,Heavy User
10075,3,2023-08-20,August,2023,1.17,217,4G,Normal Usage,Normal User
10076,144,2023-04-27,April,2023,2.86,88,5G,Normal Usage,Normal User
10077,30,2024-05-11,May,2024,0.16,208,4G,Normal Usage,Normal User
10078,237,2023-01-25,January,2023,1.26,270,4G,Normal Usage,Normal User
10079,279,2023-08-16,August,2023,8.3,236,4G,High Usage,Heavy User
10080,348,2022-11-21,November,2022,1.94,208,4G,Normal Usage,Normal User
10081,115,2022-03-10,March,2022,0.85,277,5G,Normal Usage,Normal User
10082,104,2023-10-22,October,2023,0.32,205,4G,Normal Usage,Normal User
10083,118,2023-03-24,March,2023,3.04,77,4G,Normal Usage,Normal User
10084,5,2023-06-12,June,2023,2.59,97,5G,Normal Usage,Normal User
10085,468,2024-03-29,March,2024,1.17,93,5G,Normal Usage,Normal User
10086,360,2023-09-09,September,2023,7.54,79,4G,High Usage,Heavy User
10087,248,2022-06-14,June,2022,0.06,37,4G,Normal Usage,Normal User
10088,364,2023-05-03,May,2023,0.91,227,5G,Normal Usage,Normal User
10089,321,2023-12-14,December,2023,6.35,133,5G,High Usage,Heavy User
10090,121,2023-12-10,December,2023,0.97,195,5G,Normal Usage,Normal User
10091,286,2023-03-02,March,2023,0.73,281,5G,Normal Usage,Normal User
10092,149,2023-11-28,November,2023,1.91,100,5G,Normal Usage,Normal User
10093,84,2024-04-13,April,2024,4.34,74,5G,Normal Usage,Normal User
10094,454,2022-09-22,September,2022,0.27,293,5G,Normal Usage,Normal User
10095,406,2024-05-24,May,2024,7.16,207,4G,High Usage,Heavy User
10096,466,2023-09-04,September,2023,3.96,82,4G,Normal Usage,Normal User
10097,456,2022-12-08,December,2022,0.5,142,4G,Normal Usage,Normal User
10098,231,2024-04-11,April,2024,3.11,55,4G,Normal Usage,Normal User
10099,288,2023-12-27,December,2023,1.22,286,5G,Normal Usage,Normal User
10100,161,2022-10-05,October,2022,1.29,210,5G,Normal Usage,Normal User
10101,272,2023-11-05,November,2023,3.82,178,5G,Normal Usage,Normal User
10102,460,2023-03-15,March,2023,8.23,57,5G,High Usage,Heavy User
10103,38,2022-06-06,June,2022,0.34,72,4G,Normal Usage,Normal User
10104,500,2023-02-26,February,2023,1.36,214,5G,Normal Usage,Normal User
10105,226,2022-09-08,September,2022,1.64,265,4G,Normal Usage,Normal User
10106,142,2024-05-27,May,2024,1.18,72,4G,Normal Usage,Normal User
10107,292,2023-09-01,September,2023,1.13,270,4G,Normal Usage,Normal User
10108,481,2023-06-14,June,2023,0.13,233,5G,Normal Usage,Normal User
10109,151,2022-11-23,November,2022,2.89,18,4G,Normal Usage,Normal User
10110,114,2024-06-13,June,2024,1.43,112,5G,Normal Usage,Normal User
10111,237,2022-04-07,April,2022,0.54,62,4G,Normal Usage,Normal User
10112,66,2023-05-28,May,2023,4.23,183,4G,Normal Usage,Normal User
10113,361,2022-08-04,August,2022,4.06,276,4G,Normal Usage,Normal User
10114,341,2022-05-12,May,2022,1.67,161,4G,Normal Usage,Normal User
10115,258,2022-09-17,September,2022,0.89,242,5G,Normal Usage,Normal User
